location,Bâle,Bâle,Bâle
lat,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Maximum,Minimum,Mean
timestamp,Bâle Temperature [2 m elevation corrected],Bâle Temperature [2 m elevation corrected],Bâle Temperature [2 m elevation corrected]
20220608T0000,22.060246,11.350245,16.360245
20220609T0000,18.690245,11.770246,15.875245
20220610T0000,24.800245,8.400246,17.516493
20220611T0000,28.410246,11.430245,20.63733
20220612T0000,30.760244,12.620245,22.341078
20220613T0000,25.690245,13.630245,20.811495
20220614T0000,28.930244,12.020246,20.886911
20220615T0000,32.470245,14.800245,24.268578
20220616T0000,31.950245,19.220245,25.546911
20220617T0000,32.170246,15.880245,24.6715
20220618T0000,36.580246,15.970245,27.179825
20220619T0000,37.640247,20.400246,29.127748
20220620T0000,32.440247,19.540245,26.46274
20220621T0000,33.730247,17.170246,24.828165
20220622T0000,26.690245,17.620245,21.859413
20220623T0000,30.320246,17.120245,22.644827
20220624T0000,22.880245,15.660245,18.787329
20220625T0000,27.520245,14.150246,21.220661
20220626T0000,27.320246,16.670246,21.681496
20220627T0000,22.400246,15.040245,19.147745
20220628T0000,23.410246,13.690246,19.47358
20220629T0000,27.670246,16.300245,21.960245
20220630T0000,30.120245,14.440246,21.497747
20220701T0000,21.950245,13.850245,17.324831
20220702T0000,27.770245,11.280245,20.103579
20220703T0000,30.980246,14.000245,23.683998
20220704T0000,25.660246,18.640245,22.158997
20220705T0000,28.050245,16.130245,22.266077
20220706T0000,26.370245,14.620245,20.498579
20220707T0000,24.070246,12.870245,19.17108
20220708T0000,25.290245,14.670245,19.684826
20220709T0000,28.140245,11.740245,20.923164
20220710T0000,25.220245,15.440246,20.302328
20220711T0000,28.520245,12.160245,21.061913
20220712T0000,30.150246,15.300245,22.841078
20220713T0000,33.480247,14.180245,25.46608
20220714T0000,35.79025,20.690245,28.433578
20220715T0000,29.570246,17.100245,23.51316
20220716T0000,28.690245,14.150246,22.189413
20220717T0000,31.750246,14.100245,23.55816
20220718T0000,35.350246,14.570246,25.816498
20220719T0000,36.93025,16.600245,27.741076
20220720T0000,33.510246,19.820246,25.797327
20220721T0000,29.280245,18.030245,23.26816
20220722T0000,33.230247,15.840245,25.104414
20220723T0000,29.260244,19.220245,23.816076
20220724T0000,32.290245,18.280245,25.258995
20220725T0000,34.710247,18.300245,27.092745
20220726T0000,27.310246,19.880245,23.621912
20220727T0000,26.870245,16.980246,21.953163
20220728T0000,30.860245,15.020246,23.263994
20220729T0000,26.960245,18.290245,22.493162
20220730T0000,29.160246,15.430245,23.288992
20220731T0000,31.810246,15.670245,24.750662
20220801T0000,31.380245,15.570246,23.956915
20220802T0000,31.070246,17.200245,23.769411
20220803T0000,34.760246,15.760245,26.48108
20220804T0000,37.38025,19.620245,28.944
20220805T0000,33.460247,20.360245,26.693163
20220806T0000,25.540245,17.530245,21.19441
20220807T0000,27.360245,15.010245,21.263994
20220808T0000,30.380245,13.890245,22.719414
20220809T0000,31.360245,14.270246,23.37483
20220810T0000,30.980246,15.330245,23.457747
20220811T0000,31.220245,14.230246,23.145662
20220812T0000,30.620245,14.580245,23.025246
20220813T0000,31.100245,13.8102455,22.653994
20220814T0000,27.590246,13.830245,21.651077
20220815T0000,24.950245,15.890245,20.484827
20220816T0000,30.560246,15.190246,22.669828
20220817T0000,28.940245,18.060246,22.485245
20220818T0000,21.450245,17.340246,19.219414
20220819T0000,22.870245,17.860245,20.044828
20220820T0000,24.310246,15.000245,20.116913
20220821T0000,26.280245,13.990245,19.965246
20220822T0000,27.350245,14.660245,20.79441
