CLML;Cuiseur2PMP_J;Cuiseur2PSF_J;Cuiseur2Ratio_MP_J;Cuiseur2Ratio_PSF_J;Cuiseur2Tonne_J
05/04/2022 00:00:00;null;null;null;2.08333;21.3
06/04/2022 00:00:00;null;null;null;2.08333;55.5
07/04/2022 00:00:00;null;null;null;2.08333;34.8
08/04/2022 00:00:00;null;null;null;2.08333;32
09/04/2022 00:00:00;null;null;null;2.08333;34.4
10/04/2022 00:00:00;null;null;null;2.08333;1.6
11/04/2022 00:00:00;null;null;null;2.08333;35.2
12/04/2022 00:00:00;null;16.040000000000003;null;10.81165778752742;34.5
13/04/2022 00:00:00;null;16.040000000000003;null;10.81165778752742;34.1
14/04/2022 00:00:00;null;16.040000000000003;null;10.81165778752742;36
15/04/2022 00:00:00;null;16.040000000000003;null;10.81165778752742;35.1
16/04/2022 00:00:00;null;16.040000000000003;null;10.81165778752742;74.2
17/04/2022 00:00:00;null;16.040000000000003;null;10.81165778752742;74.2
18/04/2022 00:00:00;null;16.040000000000003;null;10.81165778752742;74.2
19/04/2022 00:00:00;null;16.040000000000003;null;10.81165778752742;14.9
20/04/2022 00:00:00;null;16.040000000000003;null;10.81165778752742;59.5
21/04/2022 00:00:00;null;16.040000000000003;null;10.81165778752742;28.9
22/04/2022 00:00:00;null;18.651000000000003;null;1.5495147713259338;44.6
23/04/2022 00:00:00;null;18.651000000000003;null;1.5495147713259338;41.2
24/04/2022 00:00:00;null;18.651000000000003;null;1.5495147713259338;9.8
25/04/2022 00:00:00;null;18.651000000000003;null;1.5495147713259338;null
26/04/2022 00:00:00;null;21.945000000000004;null;null;null
27/04/2022 00:00:00;null;21.945000000000004;null;null;39.7
28/04/2022 00:00:00;null;21.945000000000004;null;null;42.6
29/04/2022 00:00:00;null;21.945000000000004;null;null;45.5
30/04/2022 00:00:00;null;21.945000000000004;null;null;25.7
01/05/2022 00:00:00;null;21.945000000000004;null;null;0.6
02/05/2022 00:00:00;null;21.945000000000004;null;null;null
03/05/2022 00:00:00;null;21.945000000000004;null;null;null
04/05/2022 00:00:00;null;21.945000000000004;null;null;37.8
05/05/2022 00:00:00;null;21.945000000000004;null;null;40.5
06/05/2022 00:00:00;null;21.945000000000004;null;null;40.5
07/05/2022 00:00:00;null;21.945000000000004;null;null;45.8
08/05/2022 00:00:00;null;21.945000000000004;null;null;8.3
09/05/2022 00:00:00;null;21.945000000000004;null;null;32
10/05/2022 00:00:00;null;21.945000000000004;null;null;49.5
11/05/2022 00:00:00;null;21.945000000000004;null;null;48.2
12/05/2022 00:00:00;null;21.945000000000004;null;null;48.2
13/05/2022 00:00:00;null;21.945000000000004;null;null;43.2
14/05/2022 00:00:00;null;21.945000000000004;null;null;44.6
15/05/2022 00:00:00;null;21.945000000000004;null;null;6.2
16/05/2022 00:00:00;null;21.945000000000004;null;null;36.8
17/05/2022 00:00:00;null;21.945000000000004;null;null;46.6
18/05/2022 00:00:00;null;21.945000000000004;null;null;41.4
19/05/2022 00:00:00;null;21.945000000000004;null;null;39.6
20/05/2022 00:00:00;null;21.945000000000004;null;null;44.2
21/05/2022 00:00:00;null;21.945000000000004;null;null;48.2
22/05/2022 00:00:00;null;8.84;null;1.0520361990950227;9.3
23/05/2022 00:00:00;null;8.84;1.2853470437017993;3.236862147753237;34.4
24/05/2022 00:00:00;null;8.84;0.49646071554402493;1.0889610959866514;48.2
25/05/2022 00:00:00;null;8.84;0.49646071554402493;1.0889610959866514;49.6
26/05/2022 00:00:00;null;8.84;0.49646071554402493;1.0889610959866514;36
27/05/2022 00:00:00;null;8.84;0.49646071554402493;1.0889610959866514;42.4
28/05/2022 00:00:00;null;8.84;0.49646071554402493;1.0889610959866514;49.8
29/05/2022 00:00:00;null;8.84;0.49646071554402493;1.0889610959866514;12.8
30/05/2022 00:00:00;null;8.84;0.49646071554402493;1.0889610959866514;33
31/05/2022 00:00:00;null;8.84;0.49646071554402493;1.0889610959866514;49.2
01/06/2022 00:00:00;null;8.84;0.49646071554402493;1.0889610959866514;49.9
02/06/2022 00:00:00;null;8.84;0.49646071554402493;1.0889610959866514;44.6
03/06/2022 00:00:00;null;8.84;0.49646071554402493;1.0889610959866514;47.5
04/06/2022 00:00:00;null;8.84;0.49646071554402493;1.0889610959866514;23.4
05/06/2022 00:00:00;null;8.84;0.49646071554402493;1.0889610959866514;null
06/06/2022 00:00:00;null;8.84;0.49646071554402493;1.0889610959866514;null
07/06/2022 00:00:00;6.613;2.779;1975.0037804324816;4699.784094998201;13084.3
08/06/2022 00:00:00;35.126;16.636;4.989117696300017;10.77757685352622;51.2
09/06/2022 00:00:00;81.61300000000001;42.92399999999999;0.5673115802629481;1.078650638337527;46.3
10/06/2022 00:00:00;71.433;31.186;0.6690295089801283;1.5484354907843976;46.3
11/06/2022 00:00:00;72.70000000000002;28.854000000000003;0.6807115174401271;1.583835863311846;48.9
12/06/2022 00:00:00;33.198;11.516;0.5280969913347465;1.5436863229391788;16.7
13/06/2022 00:00:00;68.75000000000001;32.889;0.7743698754934709;1.9172932330827066;38.9
