Temps;Co-Produit;LPlume;LSang;LV_Cuiseur_1;LV_Cuiseur_2;LV_Cuiseur_3
03/04/2022;29.3;9.2;4.7;4.8;5.9;4.9
04/04/2022;156.5;25.6;21.2;38.6;32.4;38.6
05/04/2022;98.7;15;13.5;23.1;21.3;26.1
06/04/2022;246.7;42;32.9;47.4;55.5;68.8
07/04/2022;159.5;28.6;22.4;36.3;34.8;37.3
08/04/2022;137.9;21.3;19;26.6;32;39
09/04/2022;160.1;25.8;21.9;31.7;34.4;46.3
10/04/2022;3.5;null;1.3;0.2;1.6;0.4
11/04/2022;141;23.5;21.6;26.9;35.2;33.9
12/04/2022;189.3;32.8;23.5;42.2;34.5;56.6
13/04/2022;164.4;29.6;23.9;35.3;34.1;41.4
14/04/2022;161.7;26.9;23.4;37.1;36;37.9
15/04/2022;165.4;27.1;20;40.7;35.1;41.6
16/04/2022;338.6;56.5;44;79.1;74.2;83.6
17/04/2022;342.3;56.8;48;79.1;74.2;83.6
19/04/2022;89.5;12.8;14;25.1;14.9;22
20/04/2022;267;47.3;33;61.9;59.5;64.6
21/04/2022;145.9;25;22;25.5;28.9;42.9
22/04/2022;193.8;34.3;21;40.9;44.6;51.7
23/04/2022;175.8;22;24;41.6;41.2;46.5
24/04/2022;51.4;8.5;7;8.9;9.8;16.5
27/04/2022;181.7;29.8;23;36.2;39.7;51.6
28/04/2022;188.8;33.1;25;38.6;42.6;49.1
29/04/2022;180.4;23.9;24;37.5;45.5;49
30/04/2022;89.3;7.1;12;19.2;25.7;24.1
01/05/2022;13.7;6;3;2.1;0.6;1.3
03/05/2022;0.3;0.1;null;null;null;null
04/05/2022;150.7;22.6;23;23.2;37.8;43.9
05/05/2022;182.1;36.6;24;29.4;40.5;50
07/05/2022;204.3;39;28.4;44.7;45.8;46.6
08/05/2022;40.1;8.5;8;7;8.3;8.2
09/05/2022;135.6;23;19.8;30.8;32;29.9
10/05/2022;202.5;34.4;26.9;38.7;49.5;53.1
11/05/2022;205.8;34.2;24.7;42.6;48.2;56
12/05/2022;199;34.4;24.5;37.7;48.2;54.3
13/05/2022;189.7;28.9;21.7;42.7;43.2;53
14/05/2022;170.1;21.3;19.9;33.2;44.6;51.2
15/05/2022;25.8;7.8;3.7;4.6;6.2;3.5
16/05/2022;152.7;21.9;21.2;32.9;36.8;39.9
17/05/2022;213.4;37.4;26.9;48.2;46.6;54.4
18/05/2022;180.8;30.2;25.9;42.3;41.4;41.1
19/05/2022;187.6;36.5;23.7;40.5;39.6;47.4
20/05/2022;169.6;28.5;22.2;33.5;44.2;41.3
21/05/2022;197.4;34.2;24.6;45.4;48.2;44.8
22/05/2022;36.7;5.9;3.4;7.9;9.3;10.2
23/05/2022;150.7;22.8;22;33.3;34.4;38.2
24/05/2022;201.4;31.8;23.2;42.2;48.2;55.8
25/05/2022;201.8;36.2;23.9;43.6;49.6;48.6
26/05/2022;170.6;33;22.5;30.3;36;48.7
27/05/2022;188.4;36;22.3;40.1;42.4;47.7
